,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
56,Tyrese Maxey,PHI,21,75,45,30,35.3,109.7,2.9,8.0,11.5,0.7,13.4,0.4,11.6,10.2,9.6,11.3,35.9,0.109
57,Deandre Ayton,PHX,23,58,46,12,29.5,107.7,7.7,24.1,35.4,0.7,13.0,0.7,34.8,8.5,9.0,7.2,27.3,0.109
58,Jay Huff,LAL,24,4,0,4,5.1,52.2,0.8,11.1,13.0,0.3,20.0,0.3,33.3,0.8,0.8,0.5,1.0,0.109
59,Luke Kennard,LAC,26,70,35,35,27.4,106.6,3.0,10.0,15.1,0.6,14.2,0.1,2.8,9.2,8.1,7.4,28.4,0.109
60,Desmond Bane,MEM,24,76,53,23,29.8,107.8,3.8,11.8,17.3,1.2,20.7,0.4,9.3,8.6,8.0,8.5,28.3,0.109
61,Maxi Kleber,DAL,30,59,36,23,24.6,105.3,4.7,18.2,26.7,0.5,17.6,1.0,43.3,6.5,7.0,6.0,22.2,0.109
62,Brandon Ingram,NOP,24,55,29,26,34.0,109.4,5.2,15.2,21.4,0.6,11.5,0.5,15.6,11.0,8.6,7.6,32.5,0.108
63,Klay Thompson,GSW,32,32,17,15,29.4,108.0,3.4,10.6,15.6,0.5,10.3,0.5,20.7,10.3,7.9,8.6,28.4,0.108
64,P.J. Tucker,MIA,37,71,45,26,27.9,107.1,4.0,14.6,20.5,0.8,19.0,0.2,12.2,9.5,7.1,7.4,23.4,0.108
65,Landry Shamet,PHX,25,69,53,16,20.8,102.9,1.6,7.2,10.5,0.4,11.2,0.1,6.4,6.7,5.7,4.9,19.6,0.107
66,Jordan Clarkson,UTA,30,79,47,32,27.1,107.0,2.6,9.1,13.0,0.8,20.2,0.2,7.2,9.1,6.9,6.7,25.0,0.106
67,Scotty Hopson,OKC,32,1,0,1,17.7,100.0,1.0,4.3,6.7,0.0,0.0,0.0,0.0,5.0,6.0,2.0,16.0,0.106
68,Seth Curry,BKN,31,64,38,26,33.3,109.2,2.8,8.2,12.1,0.8,16.9,0.2,5.9,10.5,9.0,9.9,32.0,0.105
69,Tobias Harris,PHI,29,73,45,28,34.8,110.0,5.7,16.4,23.4,0.6,12.1,0.6,15.8,9.6,9.3,10.9,34.6,0.105
70,Gary Trent Jr.,TOR,23,70,44,26,35.0,110.2,2.4,7.0,10.3,1.7,26.6,0.3,8.4,9.5,10.1,8.6,34.3,0.104
71,Immanuel Quickley,NYK,23,78,35,43,23.1,104.8,2.8,11.4,16.5,0.7,19.5,0.0,1.8,6.4,5.7,3.7,18.4,0.104
