,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Gerald Wallace,CHA,27,76,41,35,41.0,101.4,8.1,20.6,31.3,1.5,23.0,1.1,24.3,14.4,10.3,10.9,33.3,0.171
1,Raja Bell,GSW,33,6,2,4,30.1,95.0,3.0,11.2,16.1,0.7,12.9,0.3,15.4,9.5,7.3,6.2,23.0,0.163
2,John Salmons,MIL,30,81,48,33,34.9,99.8,2.9,8.2,12.5,1.2,23.6,0.3,7.6,10.6,8.8,8.4,27.0,0.163
3,Andrew Bogut,MIL,25,69,40,29,32.3,99.0,7.1,23.5,33.6,0.6,12.2,2.5,66.3,9.6,7.0,8.3,23.4,0.159
4,Kobe Bryant,LAL,31,73,51,22,38.8,101.8,4.3,10.8,16.4,1.5,24.0,0.3,7.0,12.2,9.8,10.1,32.1,0.158
5,Kevin Durant,OKC,21,82,50,32,39.5,102.7,6.3,15.8,24.1,1.4,20.4,1.0,21.8,12.9,12.2,10.1,37.1,0.151
6,Dwight Howard,ORL,24,82,59,23,34.7,100.9,9.7,28.0,40.5,0.9,19.3,2.8,68.7,11.4,8.2,7.4,25.1,0.150
7,Vince Carter,ORL,33,75,54,21,30.8,99.3,3.5,11.0,15.7,0.7,16.7,0.2,6.5,9.9,7.3,7.2,22.1,0.149
8,Metta World Peace,LAL,30,77,53,24,33.8,100.7,3.0,8.7,13.0,1.4,25.8,0.3,8.0,10.7,8.6,8.7,28.0,0.149
9,Boris Diaw,CHA,28,82,44,38,35.4,101.7,3.6,10.5,16.0,0.7,13.1,0.7,17.5,12.1,9.2,9.4,29.7,0.146
10,Ray Allen,BOS,34,80,50,30,35.2,101.6,2.6,7.7,11.8,0.8,12.9,0.3,8.6,11.5,9.4,8.8,28.6,0.146
11,Stephen Jackson,CHA,32,81,44,37,38.6,103.0,4.0,10.7,16.4,1.6,25.4,0.5,12.0,14.0,10.3,11.0,33.4,0.146
12,LeBron James,CLE,25,76,60,16,39.0,103.0,6.4,16.5,24.0,1.6,28.9,1.0,23.9,12.4,9.4,10.2,29.6,0.145
13,Luol Deng,CHI,25,70,37,33,37.9,102.6,5.4,13.9,20.7,0.9,19.2,0.9,18.4,11.5,9.8,10.4,31.7,0.144
14,Lamar Odom,LAL,30,82,57,25,31.5,100.3,7.5,23.2,34.9,0.9,19.2,0.7,23.8,9.6,8.2,7.4,25.6,0.144
15,Rajon Rondo,BOS,24,81,49,32,36.6,102.4,3.2,9.1,14.0,2.3,35.9,0.1,3.6,12.1,9.7,9.0,29.7,0.143
16,Raymond Felton,CHA,26,80,42,38,33.0,101.5,2.9,9.5,14.2,1.5,29.0,0.3,7.6,11.3,8.2,8.9,28.1,0.139
17,Paul Pierce,BOS,32,71,45,26,34.0,102.0,3.8,11.6,17.7,1.2,20.1,0.4,12.2,11.6,8.9,8.8,27.0,0.137
18,Brandon Jennings,MIL,20,82,46,36,32.6,101.5,2.8,9.5,13.8,1.3,24.9,0.2,6.3,9.6,7.3,8.7,25.3,0.136
19,Kevin Garnett,BOS,34,69,44,25,29.9,100.5,6.2,20.9,31.5,1.0,18.8,0.8,25.8,10.0,7.9,7.2,24.3,0.136
20,Dirk Nowitzki,DAL,32,81,54,27,37.5,103.3,6.7,17.8,26.8,0.9,14.5,1.0,22.1,10.9,10.1,10.1,31.8,0.136
21,Rashard Lewis,ORL,30,72,52,20,32.9,101.8,3.6,10.5,15.3,1.1,25.3,0.4,10.3,11.0,8.3,7.4,25.3,0.134
22,Pau Gasol,LAL,29,65,46,19,37.0,103.3,7.6,20.3,30.4,0.6,10.1,1.7,43.8,11.8,9.4,10.3,31.0,0.133
23,Tim Duncan,SAS,34,78,47,31,31.3,101.1,7.3,23.7,34.3,0.6,14.9,1.5,50.2,9.6,7.9,8.9,26.0,0.133
24,Anderson Varejao,CLE,27,76,57,19,28.5,99.9,5.1,18.2,26.8,0.9,21.7,0.9,29.1,8.6,6.6,7.5,19.9,0.132
25,Derrick Rose,CHI,21,78,41,37,36.8,103.6,2.9,7.6,11.5,0.7,15.6,0.3,7.6,11.1,9.9,10.1,31.5,0.130
26,Andrei Kirilenko,UTA,29,58,37,21,29.0,100.5,3.2,11.2,16.6,1.4,28.6,1.2,33.5,10.1,7.5,8.4,24.5,0.130
27,Dwyane Wade,MIA,28,77,45,32,36.3,103.8,3.5,9.8,14.7,1.8,31.8,1.1,25.8,10.2,9.6,8.5,28.2,0.128
28,Jason Kidd,DAL,37,80,53,27,36.0,103.6,5.0,13.8,20.6,1.8,31.3,0.4,10.2,10.8,9.5,10.3,29.9,0.127
29,Andrew Bynum,LAL,22,65,47,18,30.4,101.6,5.6,18.4,27.1,0.5,10.8,1.4,51.1,9.4,7.6,8.2,25.5,0.126
30,Carlos Delfino,MIL,27,75,42,33,30.4,101.7,4.6,16.5,23.6,1.1,22.9,0.3,9.7,9.4,6.7,7.8,23.6,0.124
31,Jameer Nelson,ORL,28,65,46,19,28.6,100.9,2.6,9.2,13.2,0.7,19.0,0.0,1.0,9.2,6.8,6.3,20.8,0.123
32,Kirk Hinrich,CHI,29,74,40,34,33.5,103.3,3.2,9.4,14.0,1.1,26.0,0.3,7.9,11.0,8.3,9.8,27.1,0.123
33,Richard Jefferson,SAS,30,81,49,32,31.1,102.2,3.7,12.0,17.9,0.6,14.1,0.5,16.7,9.5,8.0,9.0,26.0,0.122
34,Deron Williams,UTA,26,76,50,26,36.9,104.3,3.3,9.3,13.8,1.3,19.8,0.2,5.7,12.8,9.5,11.4,31.3,0.122
