,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Renaldo Major,GSW,25,1,0,1,27.4,86.9,2.0,7.1,11.1,2.0,20.0,0.0,0.0,5.0,6.0,7.0,14.0,0.242
1,Tim Duncan,SAS,31,80,58,22,34.1,96.5,7.9,23.9,35.1,0.8,16.4,2.4,59.6,10.5,8.3,7.2,26.6,0.180
2,Luol Deng,CHI,22,82,49,33,37.5,98.2,5.3,14.1,21.1,1.2,20.8,0.6,13.9,12.9,9.5,8.4,27.8,0.180
3,Rafer Alston,HOU,30,82,52,30,37.1,98.2,3.1,8.3,12.2,1.6,28.0,0.1,3.7,10.5,9.0,7.0,25.1,0.179
4,Bruce Bowen,SAS,36,82,58,24,30.1,94.8,2.4,8.2,12.3,0.8,16.5,0.3,8.8,9.4,7.5,5.9,23.9,0.176
5,LeBron James,CLE,22,78,47,31,40.9,99.9,5.7,14.7,21.8,1.6,25.5,0.7,19.2,11.8,9.9,8.7,32.0,0.174
6,Yao Ming,HOU,26,48,32,16,33.8,97.4,7.3,21.4,30.2,0.4,7.8,2.0,55.0,10.6,7.6,6.7,23.2,0.174
7,Shane Battier,HOU,28,82,52,30,36.4,98.4,3.3,9.1,13.4,1.0,18.5,0.7,22.5,10.9,8.5,7.1,24.7,0.172
8,Kirk Hinrich,CHI,26,80,48,32,35.5,98.7,3.0,8.6,12.9,1.3,22.7,0.3,7.0,12.1,9.3,7.8,26.3,0.165
9,Manu Ginobili,SAS,29,75,56,19,27.5,95.1,3.6,13.5,20.0,1.5,32.2,0.4,12.4,8.5,7.2,6.1,21.6,0.163
10,Tracy McGrady,HOU,28,71,50,21,35.8,99.3,4.5,12.7,18.6,1.3,24.5,0.5,15.4,10.2,8.9,6.8,23.9,0.160
11,Tony Parker,SAS,25,77,55,22,32.5,98.3,2.8,9.0,13.3,1.1,21.8,0.1,2.1,10.2,8.2,7.1,26.8,0.154
12,Larry Hughes,CLE,28,70,44,26,37.1,100.3,3.2,9.3,13.6,1.3,21.3,0.4,11.0,11.0,8.9,8.1,30.2,0.154
13,Ben Gordon,CHI,24,82,49,33,33.0,98.9,2.7,8.2,12.4,0.8,16.0,0.2,5.6,11.4,8.3,7.1,24.0,0.152
14,Ben Wallace,CHI,32,77,45,32,35.0,99.6,6.7,19.6,29.4,1.4,26.3,2.0,49.7,12.5,8.9,8.0,26.6,0.152
15,Devin Harris,DAL,24,80,65,15,26.0,96.2,1.9,7.4,11.2,1.2,31.2,0.3,9.3,7.6,6.4,6.5,19.3,0.143
16,Richard Hamilton,DET,29,75,48,27,36.8,101.7,2.8,8.0,12.7,0.8,15.1,0.2,4.8,9.3,10.2,8.5,28.5,0.137
17,Chuck Hayes,HOU,24,78,50,28,22.0,93.8,4.1,18.8,26.9,0.9,24.9,0.2,12.3,6.4,4.4,4.0,14.1,0.137
18,Chris Duhon,CHI,24,78,46,32,24.4,96.6,1.9,7.7,12.0,0.9,20.8,0.1,2.7,8.9,6.1,5.5,18.4,0.131
19,Josh Howard,DAL,27,70,57,13,35.1,101.6,4.9,15.3,22.5,1.2,23.6,0.8,21.7,10.7,7.9,9.0,26.7,0.131
20,Zydrunas Ilgauskas,CLE,32,78,48,30,27.3,97.9,4.6,18.2,26.3,0.6,15.6,1.3,50.0,7.7,6.6,5.5,21.0,0.130
21,Dirk Nowitzki,DAL,29,78,64,14,36.2,102.1,7.3,21.7,31.5,0.7,13.6,0.8,21.3,10.7,8.3,9.0,28.2,0.129
22,Anthony Parker,TOR,32,73,43,30,33.4,101.4,3.1,9.6,14.6,1.0,20.1,0.2,5.7,9.9,8.6,7.7,26.8,0.127
23,Jason Terry,DAL,29,81,67,14,35.1,102.0,2.3,7.2,10.5,1.0,20.9,0.2,5.7,10.6,7.9,8.8,27.8,0.126
24,Tayshaun Prince,DET,27,82,53,29,36.6,102.6,3.5,10.1,16.0,0.6,11.8,0.7,15.2,9.4,10.1,8.3,29.2,0.125
25,Kenyon Martin,DEN,29,2,0,2,31.3,101.5,7.0,23.0,29.2,0.0,0.0,0.0,0.0,10.0,5.0,7.0,23.0,0.125
26,Anderson Varejao,CLE,24,81,49,32,23.9,97.1,4.4,19.2,28.5,0.9,23.8,0.6,32.5,7.3,5.7,5.1,17.1,0.125
27,Dwight Howard,ORL,21,82,40,42,36.9,102.9,8.8,25.4,38.7,0.9,16.5,1.9,47.9,13.9,8.2,10.3,25.5,0.123
28,Sasha Pavlovic,CLE,23,67,42,25,22.9,96.7,2.0,9.2,13.9,0.8,21.4,0.3,11.9,7.1,6.3,5.1,17.8,0.122
29,Jermaine O'Neal,IND,28,69,32,37,35.6,102.6,7.4,21.4,32.8,0.7,14.1,2.6,59.3,11.8,10.1,8.8,28.1,0.120
30,Chauncey Billups,DET,30,70,48,22,36.2,103.0,3.1,8.9,14.2,1.2,23.5,0.2,5.5,9.3,10.2,8.2,29.2,0.119
31,Erick Dampier,DAL,31,76,64,12,25.2,98.5,4.6,19.4,28.3,0.3,9.2,1.1,42.5,7.6,5.5,6.4,20.6,0.118
32,Chris Bosh,TOR,23,69,41,28,38.5,103.8,8.0,21.7,32.8,0.6,10.5,1.3,39.6,12.1,9.9,8.4,31.0,0.118
33,Raja Bell,PHX,30,78,59,19,37.4,103.6,2.6,6.7,10.6,0.6,12.3,0.3,7.1,12.2,11.9,8.2,32.4,0.117
34,Andres Nocioni,CHI,27,53,31,22,26.5,99.8,4.9,18.6,28.7,0.5,13.2,0.5,15.9,9.7,7.0,5.8,20.8,0.116
35,Allen Iverson,DEN,32,65,31,34,42.5,104.9,2.6,6.1,9.6,1.9,25.1,0.2,4.0,15.9,12.8,13.1,40.2,0.115
36,P.J. Brown,CHI,37,72,42,30,20.2,95.3,3.0,15.3,22.3,0.3,10.3,0.7,32.3,6.3,4.3,4.8,13.8,0.115
37,Dwyane Wade,MIA,25,51,27,24,37.9,104.1,3.7,9.6,14.9,2.1,37.3,1.2,23.9,12.9,11.7,10.5,30.7,0.114
38,Elton Brand,LAC,28,80,40,40,38.5,104.3,6.0,16.2,24.4,1.0,16.8,2.2,47.6,13.5,9.5,7.5,32.7,0.112
39,Cuttino Mobley,LAC,31,78,38,40,36.4,103.8,2.8,7.9,12.1,1.2,21.0,0.3,6.8,12.5,9.3,6.8,31.3,0.112
40,Kevin Garnett,MIN,31,76,32,44,39.4,104.4,10.4,27.5,42.6,1.2,22.6,1.7,50.6,13.6,10.8,8.8,31.9,0.112
41,Anthony Carter,DEN,32,2,2,0,18.6,94.9,1.5,5.9,8.6,0.0,0.0,0.5,14.3,11.0,5.0,5.5,15.0,0.110
42,Tim Thomas,LAC,30,76,37,39,27.0,100.6,4.1,15.3,23.9,0.7,17.4,0.4,11.8,8.9,7.0,4.3,21.5,0.110
