,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
0,Tim Duncan,SAS,24,74,48,26,38.9,95.0,8.9,21.7,32.9,0.9,15.1,2.2,39.2,12.6,10.2,9.4,28.0,0.193
1,Anfernee Hardaway,PHX,28,60,42,18,37.5,94.8,4.3,10.7,17.1,1.6,21.0,0.6,15.3,13.2,11.0,9.1,28.2,0.187
2,Shaquille O'Neal,LAL,28,79,66,13,40.1,96.2,9.4,21.9,33.7,0.5,7.5,3.0,53.7,10.7,11.3,9.8,28.0,0.181
3,Kobe Bryant,LAL,21,66,55,11,38.2,96.4,4.7,11.4,17.6,1.6,27.5,0.9,17.8,10.4,10.6,10.0,28.4,0.173
4,Eddie Jones,CHH,28,72,47,25,38.9,96.9,3.6,9.2,13.8,2.7,37.4,0.7,13.6,12.1,9.9,11.3,31.5,0.167
5,Latrell Sprewell,NYK,29,82,50,32,40.0,98.2,3.7,9.1,14.3,1.3,24.9,0.3,7.6,13.0,10.6,8.5,27.1,0.158
6,Jason Kidd,PHX,27,67,44,23,39.0,98.1,5.8,14.5,23.3,2.0,27.6,0.4,9.7,13.9,11.8,9.9,29.9,0.155
7,George Lynch,PHI,29,75,45,30,32.2,95.6,4.9,15.1,24.2,1.6,23.6,0.5,15.7,9.7,8.4,8.5,25.4,0.154
8,Kevin Johnson,PHX,34,6,3,3,18.8,84.9,2.7,11.8,18.8,0.3,14.3,0.0,0.0,4.2,4.8,4.5,13.3,0.153
9,Derek Fisher,LAL,25,78,65,13,23.1,90.3,1.6,6.2,9.5,1.0,26.6,0.0,1.3,6.3,5.9,5.9,16.0,0.150
10,David Robinson,SAS,34,80,51,29,32.0,95.8,7.2,22.4,34.3,1.2,24.6,2.3,50.0,9.8,8.9,7.3,22.6,0.149
11,Jamal Mashburn,MIA,27,76,47,29,37.2,98.2,4.2,11.0,17.0,1.0,18.5,0.2,3.9,12.1,9.7,9.2,27.5,0.146
12,Clifford Robinson,PHX,33,80,51,29,35.5,97.7,3.2,8.5,13.7,1.1,17.1,0.8,19.9,12.6,10.7,8.8,27.1,0.146
13,Eric Snow,PHI,27,82,49,33,34.9,97.5,2.7,7.7,12.4,1.7,24.2,0.1,3.0,10.6,9.4,9.1,27.3,0.145
14,Rodney Rogers,PHX,29,82,53,29,27.9,94.3,3.8,12.8,21.0,1.1,21.7,0.6,19.1,10.0,8.1,6.3,19.8,0.145
15,Tom Gugliotta,PHX,30,54,36,18,32.7,96.6,5.3,15.9,25.3,1.5,24.3,0.6,16.7,11.0,9.9,8.3,25.2,0.145
16,Rasheed Wallace,POR,25,81,58,23,35.1,97.7,5.4,15.3,23.4,1.1,18.8,1.3,37.8,10.3,9.3,8.8,24.9,0.144
17,Terry Porter,SAS,37,68,43,25,23.7,91.9,2.5,9.8,15.2,0.7,19.2,0.1,4.3,7.5,6.2,4.8,15.9,0.142
18,Allan Houston,NYK,29,82,50,32,38.6,99.2,2.8,7.4,11.6,0.8,15.5,0.2,5.1,12.4,9.7,8.7,25.8,0.140
19,Theo Ratliff,PHI,27,57,34,23,31.5,96.6,5.2,16.1,25.6,0.6,9.7,3.0,75.3,9.7,8.6,7.0,23.6,0.140
20,Allen Iverson,PHI,25,70,42,28,40.8,99.9,2.8,7.0,11.3,2.1,24.8,0.1,1.7,12.4,10.9,11.0,32.3,0.139
21,Khalid Reeves,CHI,27,3,0,3,15.8,83.9,0.7,4.9,7.7,0.7,22.2,0.0,0.0,3.7,2.0,3.0,7.3,0.138
22,Dan Majerle,MIA,34,69,44,25,33.5,97.9,4.4,12.9,19.8,1.3,26.5,0.2,5.5,10.8,8.6,8.3,23.6,0.136
23,Bo Outlaw,ORL,29,82,41,41,28.4,95.6,3.9,13.1,21.5,1.4,24.7,1.8,44.6,10.5,8.6,7.4,22.3,0.134
24,Anthony Mason,CHH,33,82,49,33,38.2,99.5,6.8,17.7,26.4,0.9,13.1,0.4,7.9,12.2,10.0,10.9,31.3,0.134
25,Larry Johnson,NYK,31,70,43,27,32.6,97.7,4.2,13.3,20.2,0.6,13.9,0.1,3.9,10.3,7.9,7.2,21.5,0.133
26,Alonzo Mourning,MIA,30,79,50,29,34.7,98.6,6.8,18.9,29.2,0.5,10.4,3.7,74.8,11.4,9.5,8.7,24.5,0.132
27,Kevin Garnett,MIN,24,81,50,31,40.0,100.3,9.0,23.3,36.6,1.5,22.7,1.6,35.9,12.1,10.7,10.7,32.1,0.130
28,Avery Johnson,SAS,35,82,53,29,31.4,97.6,1.5,4.7,7.2,0.9,18.7,0.2,5.0,10.2,8.8,7.7,23.2,0.130
29,Robert Horry,LAL,29,76,62,14,22.2,92.6,3.0,12.4,19.6,1.1,29.5,1.1,31.5,6.7,6.0,5.6,15.7,0.129
30,Terrell Brandon,MIN,30,71,43,28,36.5,99.6,2.7,7.7,11.9,1.9,31.8,0.4,10.2,10.8,9.1,9.9,28.8,0.128
31,Steven Smith,POR,31,82,59,23,32.8,98.4,2.3,6.9,10.7,0.9,17.4,0.4,11.0,9.9,9.3,8.7,24.7,0.127
32,Scottie Pippen,POR,34,82,59,23,33.5,98.7,4.9,14.4,22.1,1.4,26.1,0.5,15.4,9.9,9.3,8.6,24.5,0.127
33,Tyrone Hill,PHI,32,68,41,27,31.7,97.9,6.0,19.3,30.1,0.9,14.6,0.4,13.8,9.4,8.3,8.6,24.4,0.126
34,Glen Rice,LAL,33,80,65,15,31.6,98.1,3.4,10.0,15.7,0.6,12.6,0.2,3.8,9.3,9.2,8.3,23.5,0.125
35,Patrick Ewing,NYK,37,62,39,23,32.8,98.6,7.5,23.3,35.9,0.6,13.4,1.4,52.8,10.6,7.6,7.7,22.5,0.125
36,Bryon Russell,UTA,29,82,55,27,35.3,99.8,4.0,12.1,18.6,1.6,26.8,0.3,7.4,10.8,8.8,7.0,24.3,0.121
37,Mario Elie,SAS,36,79,51,28,28.1,97.2,2.5,8.8,13.5,0.9,22.0,0.1,3.0,9.5,7.9,7.1,21.1,0.120
38,P.J. Brown,MIA,30,80,52,28,28.8,97.5,4.8,16.2,24.8,0.8,19.6,0.8,19.4,9.4,7.5,7.3,21.0,0.120
39,John Stockton,UTA,38,82,55,27,29.7,98.1,2.1,7.5,11.2,1.7,33.3,0.2,5.7,8.7,7.3,5.8,20.5,0.119
40,Shawn Marion,PHX,22,51,37,14,24.8,96.0,4.5,17.5,27.0,0.7,15.4,1.0,37.3,9.2,7.0,6.3,18.9,0.116
41,Toni Kukoc,PHI,31,56,30,26,31.9,98.9,3.5,11.6,19.3,1.4,22.1,0.5,17.1,11.8,8.5,8.0,25.6,0.116
