Period,1993_1997,1998_2002,2003_2007,2008_2012,2013_2017,2018_2023,All_years_1993_2023
MI vs MI Kendall's tau,,,,,,,
1993_1997,1.0,0.3224236604054341,0.34373252854386055,0.3235629225074372,0.32907694640838187,0.3607180110986937,0.34740280523015654
1998_2002,0.3224236604054341,1.0,0.7106483706379184,0.6652366476060485,0.6665410331895898,0.5304529685356811,0.7572465182911485
2003_2007,0.34373252854386055,0.7106483706379185,1.0,0.669462441569379,0.6479313219300455,0.5787224471434999,0.7511716431222666
2008_2012,0.3235629225074372,0.6652366476060484,0.669462441569379,0.9999999999999998,0.6779846659364731,0.6292858162629938,0.7378420136469379
2013_2017,0.32907694640838187,0.6665410331895898,0.6479313219300455,0.6779846659364731,0.9999999999999998,0.682114748986307,0.745007636498718
2018_2023,0.3607180110986937,0.5304529685356812,0.5787224471434999,0.6292858162629938,0.6821147489863069,1.0,0.6310369866651028
All_years_1993_2023,0.3474028052301565,0.7572465182911484,0.7511716431222666,0.7378420136469379,0.745007636498718,0.6310369866651027,0.9999999999999998

MI vs Pearson's Kendall's tau,,,,,,,
1993_1997,0.31622312401338143,0.17548156459334124,0.17770848800188618,0.19725298650422968,0.2138545667637219,0.1334679676124965,0.14788512941679235
1998_2002,0.41327077186109723,0.4646824468294634,0.49324448847855573,0.4881052303443382,0.47690916859846016,0.4067184738069938,0.4820765817119423
2003_2007,0.4532815099326082,0.4976461856452411,0.5196044594828069,0.49573391036062725,0.5036480659140563,0.43681741901843296,0.5049670918396277
2008_2012,0.43183665318839304,0.40436218166691495,0.47925227339481485,0.4948706586759339,0.4887959640494867,0.3889974094721392,0.4788161085917519
2013_2017,0.45399348506055276,0.4686169940961782,0.49431891906788344,0.5065861411697964,0.5213389709768825,0.4480087287004838,0.5235085047720422
2018_2023,0.39031746384772137,0.33731693365896287,0.39705481938019066,0.42164862087436056,0.4616590739500298,0.38119849249016746,0.4379166072897425
All_years_1993_2023,0.49626720944037966,0.48309197379152,0.5344753928220726,0.544086222809138,0.5475270842972592,0.4584947932921274,0.5415055766930473

MI vs MI Spearman's,,,,,,,
1993_1997,1.0,0.439541916731821,0.46857878371082595,0.45456983013212304,0.4590716333746816,0.498020336298647,0.4781110677207274
1998_2002,0.43954191673182097,1.0,0.8875306669230467,0.853231593837415,0.8443340917473808,0.7246448629637707,0.9199121452344414
2003_2007,0.468578783710826,0.8875306669230468,1.0,0.8403049558146277,0.8335808218981476,0.7646191450357342,0.9112436173318949
2008_2012,0.454569830132123,0.853231593837415,0.8403049558146277,1.0,0.864769422517657,0.824944016031015,0.8931086446171023
2013_2017,0.45907163337468154,0.8443340917473809,0.8335808218981475,0.864769422517657,1.0,0.864037971783622,0.9093672177782929
2018_2023,0.498020336298647,0.7246448629637708,0.7646191450357342,0.824944016031015,0.864037971783622,1.0,0.8332469159615327
All_years_1993_2023,0.4781110677207274,0.9199121452344415,0.9112436173318949,0.8931086446171024,0.9093672177782928,0.8332469159615327,0.9999999999999999

MI vs Pearson's Spearman's,,,,,,,
1993_1997,0.46588312967067813,0.22541591215456117,0.2552736756146741,0.2882565668986446,0.30635566922848567,0.1941267238413697,0.22369606631391986
1998_2002,0.5898325586473842,0.6751932426644355,0.7088721838710994,0.6864868883155998,0.678700846513875,0.5979601191138928,0.6809761594052575
2003_2007,0.6170365784550056,0.6586588175100564,0.7058406812285418,0.6724223616969102,0.6913355416441997,0.6061006726853804,0.6797444453382788
2008_2012,0.5924883805900631,0.546581586629576,0.6439857770112607,0.6663908509494628,0.6774004603759375,0.5501512365920737,0.6491652897893806
2013_2017,0.6134514415788265,0.654100487903117,0.6877052392678003,0.6967133697346992,0.7192922876314582,0.6370955445269837,0.711772566360505
2018_2023,0.5556737976678615,0.49195120827407957,0.5846373713619323,0.6046666544993001,0.66111542567671,0.5513634716010339,0.6195355066591189
All_years_1993_2023,0.6770377618106886,0.6803885272701335,0.7356829402770034,0.7470756497941617,0.7554656948494548,0.6642929952125468,0.7418285839993938

Pearson's vs Pearson's Spearman's,,,,,,,
1993_1997,1.0,0.835551215119754,0.8527867245127434,0.841014972478732,0.8231977195012901,0.7586959079346787,0.8992823668016541
1998_2002,0.835551215119754,1.0,0.9341847589110244,0.9059304029002606,0.8930031535565551,0.799156448548755,0.9401074692073433
2003_2007,0.8527867245127435,0.9341847589110245,1.0,0.9082108310052073,0.9025809204542554,0.8111521449508275,0.9497007160592766
2008_2012,0.841014972478732,0.9059304029002605,0.9082108310052073,1.0,0.9143877959939861,0.8532244718476811,0.9327346571966884
2013_2017,0.8231977195012902,0.8930031535565552,0.9025809204542553,0.9143877959939861,1.0,0.8926728881385634,0.9348233556109731
2018_2023,0.7586959079346787,0.799156448548755,0.8111521449508275,0.8532244718476811,0.8926728881385633,1.0,0.869682005649468
All_years_1993_2023,0.8992823668016541,0.9401074692073433,0.9497007160592767,0.9327346571966885,0.934823355610973,0.8696820056494681,0.9999999999999998
