Rank_1994,Rank_1995,Rank_1996,Rank_1997,Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
1,1,3,2,1,1,1,-1,1,1,6,-1,5,6,1,1,1,2,3,1,1.0,1,1,1,3,1.0,3.0,1.0,3.0,6.0
2,2,6,-1,2,4,5T,-1,3T,11,2,10,4,2,2,8,-1,1,2.0,3.0,4.0,3.0,2,-1,1.0,2.0,1.0,9.0,6.0,1.0
7T,3,-1.0,1,3,-1,3T,1,-1,-1,1,9,3,-1,3,5,-1,10.0,7,13,15T,-1,4.0,2.0,6,-1,8T,6.0,9,-1
4,4,1,5,4,-1,2,1,2,-1.0,7,11,2,1,10,6,4,12T,5,21,3.0,4,3,5T,15T,6T,2,3,4.0,-1.0
3,6T,4,6T,5T,-1,7,11T,-1,13T,-1,18T,4,4,16T,7,10T,6.0,18T,2,7.0,2,10,-1.0,15T,-1,11,11T,5.0,2.0
10,5,5,4,5T,7T,3T,8T,-1,4,-1.0,4,6,13T,9,-1,2,25,6.0,8.0,8T,15T,-1,-1.0,-1,5.0,10.0,-1,-1.0,-1
-1,6T,2,3,9T,3,8T,2,3T,3,3,1,7,3,-1,2,5,5,4,-1,5,8,-1.0,3,-1,-1,8T,-1,-1,7T
9,-1,7,-1,11T,7T,8T,7,-1,5.0,-1,5,1,11T,-1,3,6,16,-1.0,-1,13T,5.0,-1.0,-1.0,-1.0,3.0,-1,-1,10,3.0
-1,-1,8T,-1,11T,7T,8T,5T,-1,13T,5,-1,-1,13T,5,-1,10T,11,10,14,2.0,-1.0,11T,4.0,8.0,-1,-1,-1,-1,11.0
5,-1,-1,-1.0,5T,5T,-1,4.0,-1,2,3,2,13T,8,16T,16T,12,-1,12T,6,-1,13T,-1.0,-1,14.0,-1.0,-1,5.0,11,4
