Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
-1,3,5T,-1,1,-1,2,1,4,-1,9,1,1,1,2.0,1,1.0,1,3,-1.0,15T,2.0,1.0,1.0,3.0,2.0
1,1,3T,1,-1,1,1,4,4,3,2,6,10T,10.0,12T,6,7.0,2,5.0,-1.0,6,1.0,10.0,9.0,-1.0,-1.0
2,7T,-1,1,3T,11,-1,9,8,8,7T,-1,10T,-1,3,14,4.0,8,1,2.0,1.0,-1,-1.0,-1,-1.0,9T
3,2,1,-1,-1,4,-1,-1,1,4,-1,3,5,-1,4,-1,5,10T,2,1,8.0,-1,-1.0,5.0,-1.0,1.0
4,4,8T,-1,-1,3,6,5,7,1,-1,10,-1.0,2,5,3.0,13T,6.0,-1.0,3,-1,-1.0,11,-1,-1.0,-1.0
-1,5T,-1,3,-1,-1,7,18T,13T,24T,-1,-1.0,2,-1.0,7,4.0,-1.0,13T,11T,-1,-1.0,-1,8T,-1,-1.0,5.0
-1,-1,3T,2,-1,5.0,-1,6.0,-1,5,-1,-1,-1,12T,10,5.0,-1,4,-1.0,-1,3,-1.0,-1,3,-1,-1
-1,5T,-1,5T,3T,8,10T,-1,10T,13T,-1,13T,-1,5,18T,-1,8T,-1,4.0,-1,-1.0,5.0,-1.0,-1.0,-1.0,4
-1,-1,7,-1,-1,13T,4,-1.0,6,11T,16T,2,4,9,-1,16,-1.0,15T,-1,-1,-1.0,6T,2,-1.0,-1.0,6.0
-1,-1,5T,-1,-1,13T,-1,8,13T,2,7T,8,12,6.0,-1,10.0,-1.0,3.0,10,-1.0,-1,3.0,-1.0,11T,1,9T
