Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
2,3,5T,-1,1,1,2,1,8,-1,2,5,1,2,-1.0,1,1.0,2,1,-1.0,3,2.0,1.0,1.0,3.0,1.0
1,1,3T,-1,-1,-1,1,5,10T,1,-1,6,10T,1,-1,3.0,7.0,4,3,-1.0,15T,1.0,11,9.0,-1.0,2.0
-1,2,-1,-1,3T,11,-1,-1,1,3,-1,-1,10T,25,-1.0,4.0,-1,3.0,2,1,-1.0,-1,3.0,3,-1.0,9T
11T,7T,1,1,-1,3,-1,9,7,8,-1,10,5,6.0,-1.0,14,-1.0,8,5.0,-1,1.0,-1,2,-1,-1.0,-1.0
-1.0,-1.0,-1,1,-1,-1.0,7,-1,-1,-1.0,1,1,7.0,-1.0,14T,-1,4.0,1,-1.0,-1.0,6,-1.0,10.0,-1,6.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1,4,6,-1,3,-1.0,9,-1,17T,12T,-1.0,-1.0,8T,15T,-1.0,-1.0,14.0,5.0,8T,5.0,9,-1.0
5T,-1.0,8T,-1.0,-1.0,2,5,-1,-1.0,-1,-1.0,-1.0,14,15.0,-1.0,6,-1.0,5.0,10,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0
-1.0,-1.0,5T,5T,-1,-1,-1,-1,-1,20.0,6,11,-1.0,-1,-1.0,10.0,-1.0,15T,-1.0,3,8.0,-1.0,-1.0,-1.0,-1,12
3,-1.0,8T,11T,-1.0,11,10T,4,4,16T,16T,3,-1,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,8T,-1.0,-1.0,-1.0
-1,-1.0,-1.0,11T,-1,-1.0,-1.0,-1.0,4,11T,7T,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,8T,-1.0,-1.0,-1.0
