Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
2,2,5T,-1,1,1,1,1,1,-1,7T,1,1,1,3,1,1.0,2,3,2.0,1.0,1.0,1.0,1.0,3.0,-1.0
-1,3,3T,1,-1,11,2,-1,-1,6,2,2,-1,2,5,-1,7.0,1,1,5T,6,2.0,11,9.0,-1.0,1.0
1,7T,-1,1,-1,11,-1,-1,4,13T,5,6,-1,10.0,2.0,6,5,8,5.0,1,15T,5.0,-1.0,-1.0,-1.0,2.0
-1.0,1,1,-1,3T,-1,6,9,4,3,1,3,4,-1.0,9.0,3.0,13T,4,2,-1.0,3,-1.0,3.0,-1.0,-1.0,9T
-1.0,5T,2,-1,-1,4,-1,-1,13T,-1.0,-1.0,8,5,5,7,14,13T,15T,11T,-1,8.0,-1,2,-1,-1.0,-1.0
5T,7T,7,3,-1,3,-1,4,6,-1,-1,-1,12,6.0,-1,8.0,-1,-1.0,-1.0,-1,-1.0,-1,-1.0,5.0,-1.0,3.0
4,-1,-1,2,2,8,7,10,8,1,-1,-1,14,-1.0,4,21,11,5.0,4.0,3,-1,-1.0,10.0,3,9,-1.0
3,4,-1,5T,-1,-1,10T,5,-1,4,-1,5,-1,-1.0,18T,4.0,10.0,3.0,10,5T,15T,6T,-1,-1,10,-1
11T,-1,-1,-1,3T,13T,5,18T,7,24T,-1,10,15,16,12T,-1,-1.0,10T,-1.0,-1,-1.0,6T,8T,-1,-1.0,-1.0
-1,5T,8T,11T,-1,-1.0,10T,-1,-1,8,12,16T,17T,9,10,2,-1.0,7.0,-1,-1,-1,-1,-1,-1,-1,9T
