Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
2,3,3T,-1,1,1,2,-1,1,6,7T,1,1,1,3,-1,1.0,2,3,2.0,15T,1.0,1.0,1.0,3.0,1.0
-1,2,5T,-1,-1,-1,-1,-1,13T,3,2,2,4,2,5,1,11,4,1,1,1.0,2.0,3.0,9.0,-1.0,-1.0
1,1,-1,1,-1,11,1,1,7,13T,5,6,5,10.0,2.0,3.0,7.0,1,2,5T,3,5.0,-1.0,-1.0,-1.0,2.0
4,7T,1,1,3T,11,-1,-1,6,-1.0,-1.0,3,3,-1,9.0,21,-1.0,-1.0,5.0,-1.0,6,-1,11,-1.0,-1.0,9T
-1.0,4,2,-1,-1,4,-1,-1,-1,-1,-1.0,8,10T,5,4,14,-1.0,5.0,-1.0,-1,-1.0,-1.0,-1.0,5.0,-1.0,-1.0
-1.0,5T,-1,3,-1,3,-1,9,-1,1,7T,16T,-1,-1,7,6,10.0,-1.0,4.0,3,8.0,-1,2,-1,-1.0,-1.0
-1.0,7T,-1,5T,2,-1,6,4,-1.0,-1,-1.0,-1,-1,-1.0,-1,2,-1.0,15T,-1,-1.0,-1.0,-1.0,10.0,-1,-1.0,3.0
5T,7T,-1,2,3T,8,7,18T,4,4,1,10,-1,12T,10,8.0,13T,8,11T,-1.0,15T,6T,8T,6.0,9,-1
3,-1,7,11T,-1,13T,10T,5,4,16T,-1,-1.0,14,6.0,-1,-1,-1.0,-1.0,-1,-1,2,4,8T,-1,-1.0,5.0
-1,-1,-1,-1,-1,9,10T,-1,-1,24T,-1,16T,-1.0,-1.0,1,-1,-1.0,-1.0,10,-1.0,-1,3.0,8T,-1,10,9T
