Rank_1998,Rank_1999,Rank_2000,Rank_2001,Rank_2002,Rank_2003,Rank_2004,Rank_2005,Rank_2006,Rank_2007,Rank_2008,Rank_2009,Rank_2010,Rank_2011,Rank_2012,Rank_2013,Rank_2014,Rank_2015,Rank_2016,Rank_2017,Rank_2018,Rank_2019,Rank_2020,Rank_2021,Rank_2022,Rank_2023
2,2,3T,1,1,1,2,-1,1,6,7T,1,1,1,3,1,1.0,2,3,2.0,15T,2.0,1.0,1.0,-1.0,1.0
-1,3,5T,1,3T,-1,-1,-1,13T,-1.0,2,2,4,10.0,2.0,6,7.0,4,1,1,6,1.0,3.0,9.0,3.0,-1.0
1,1,-1,-1,-1,11,1,1,7,13T,5,6,5,2,5,-1,13T,1,2,5T,1.0,-1,11,-1.0,-1.0,2.0
-1.0,7T,1,-1,-1,11,-1,-1,6,3,-1.0,3,-1,5,9.0,21,5,15T,5.0,-1,3,5.0,-1.0,-1.0,-1.0,9T
5T,4,2,-1,-1,4,-1,-1,-1,-1,-1.0,8,-1,-1,7,3.0,13T,8,-1.0,3,-1.0,-1.0,-1.0,-1,-1.0,-1.0
4,5T,-1,3,-1,3,6,9,-1,1,7T,10,14,-1,4,14,10.0,-1.0,11T,-1.0,-1.0,-1.0,2,5.0,-1.0,3.0
-1.0,7T,7,5T,2,8,-1,18T,-1.0,16T,1,16T,17T,-1.0,-1,2,-1,3.0,4.0,-1,-1.0,-1,10.0,-1,-1.0,-1.0
3,-1,-1,2,3T,-1,7,4,4,24T,-1.0,5,-1,12T,10,8.0,11,7.0,10,5T,8.0,4,8T,-1,-1.0,-1
-1,7T,-1,11T,-1,13T,5,5,-1,4,12,-1,-1.0,-1.0,12T,-1,4.0,5.0,-1,-1,15T,-1,-1,3,9,9T
-1,5T,-1,8T,-1,9,10T,-1,4,-1,-1,-1.0,10T,-1.0,18T,4.0,-1.0,13T,-1.0,-1.0,-1,3.0,8T,-1,-1.0,-1.0
