Feature,Importance
BLK_nba,0.66675454
WS/48_advanced,0.105615385
Dpoy_titles,0.061447494
MOV_misc,0.055796817
WINS_espn,0.029035738
MP,0.018239472
DRB,0.011088252
G,0.006218687
DWS_advanced,0.005157573
W_nba,0.004517506
FT%_opponent,0.003990564
2P_opponent,0.0036702787
won_dpoy_last_season,0.0036629061
RPM_espn,0.0031023347
DBPM_advanced,0.0030975216
Dpoy_votes,0.0028659173
war_total_raptor,0.002200123
STL,0.0020133858
TRB_100_poss,0.0017107524
STL_nba,0.0013531403
DEF WS_nba,0.0012607696
W_misc,0.00093610235
STL_100_poss,0.0008440964
BLK,0.0006713309
3P%_opponent,0.0005375498
DRB_team,0.00051823736
PW_misc,0.00047219158
3PA_opponent,0.00046063928
3P_opponent,0.00039912274
VORP_advanced,0.0003675631
poss_raptor,0.00028295594
SRS_misc,0.00027341951
OPP PTS OFF TOV_nba,0.00023835759
TRB_opponent,0.00011705915
FGA_opponent,9.389332e-05
teamates_with_dpoy,8.994125e-05
FTA_opponent,8.340701e-05
pace_impact_raptor,8.310256e-05
Pace_misc,8.015789e-05
Age,7.9774014e-05
PF_team,7.951763e-05
PF,7.196185e-05
DRtg_100_poss,6.450472e-05
WS_advanced,3.8892267e-05
DRPM_espn,3.4211833e-05
predator_defense_raptor,3.409843e-05
DRB%_misc,2.1753869e-05
TRB_team,2.1590955e-05
DREB%_nba,2.1205597e-05
SOS_misc,2.0889996e-05
TOV%.1_misc,1.6233278e-05
AST_team,1.4428236e-05
GP_espn,1.4131377e-05
MP_100_poss,1.391375e-05
PER_advanced,1.0626829e-05
OPP PTS 2ND CHANCE_nba,9.837406e-06
BLK_team,9.137208e-06
OPP PTS PAINT_nba,6.458365e-06
FT_opponent,6.2382846e-06
OPP PTS FB_nba,5.462766e-06
raptor_defense_raptor,5.347624e-06
DRB%_advanced,5.3257286e-06
TOV,5.1805473e-06
TRB,5.1349784e-06
STL_team,4.742412e-06
predator_total_raptor,3.9000856e-06
DEF RTG_nba,3.817895e-06
DRtg_misc,3.5225694e-06
TOV_100_poss,2.1721567e-06
war_reg_season_raptor,2.0346008e-06
TRB%_advanced,1.9362178e-06
BLK_100_poss,1.4832791e-06
2PA_opponent,1.3006438e-06
mp_raptor,1.2413699e-06
%BLK_nba,1.2140825e-06
TOV_team,9.4109873e-07
PF_100_poss,8.503072e-07
DRB_100_poss,7.6396054e-07
2P%_opponent,7.2416304e-07
BPM_advanced,6.4435244e-07
DREB_nba,6.3689913e-07
STL%_nba,6.140509e-07
GS,5.408188e-07
L_misc,5.112468e-07
MPG_espn,4.969293e-07
FG%_opponent,3.7609294e-07
raptor_total_raptor,3.5086933e-07
TOV%_misc,2.9357074e-07
BLK%_advanced,2.703678e-07
ORB_opponent,2.6158523e-07
MIN_nba,9.61163e-08
%DREB_nba,3.112482e-08
PL_misc,3.0128128e-08
AST_opponent,1.7040602e-08
MP_advanced,0.0
GP_nba,0.0
STL%_advanced,0.0
D-LEBRON_bball,0.0
