Feature,correlation,p-value
First_votes,1.0,0.0
Dpoy_titles,0.46062382442958116,3.760045831142724e-126
Dpoy_votes,0.3198324988708196,4.055681139167875e-58
BLK_nba,0.30850607209206415,5.353107415739971e-54
BLK,0.30701451617671294,1.8108963175883485e-53
WINS_espn,0.2271928707661995,2.0065473048881812e-29
DWS_advanced,0.21413145258121563,3.005057523613494e-26
DREB_nba,0.20500024845359047,3.779489603601718e-24
war_total_raptor,0.20434375964002247,5.304041557980521e-24
DRB,0.20301147989610716,1.0513139909282306e-23
TRB,0.20226860242108666,1.536416580483475e-23
DRPM_espn,0.20000329955554144,4.841729006071807e-23
VORP_advanced,0.1899113346925851,6.815730922238168e-21
war_reg_season_raptor,0.18724689478028886,2.4053699606244978e-20
WS_advanced,0.18326571093027055,1.5288922633980298e-19
BLK_100_poss,0.16936525048361734,7.044146447072821e-17
BLK%_advanced,0.16296419671912724,1.0031303060937702e-15
RPM_espn,0.16292897285720173,1.0176038177010932e-15
DEF WS_nba,0.15263865124024653,5.838286097860835e-14
raptor_defense_raptor,0.1518307777551636,7.932614753215047e-14
%BLK_nba,0.14614221845551342,6.55547130006226e-13
mp_raptor,0.13091200750695833,1.256367416368661e-10
predator_defense_raptor,0.12941274134513323,2.043104444630914e-10
poss_raptor,0.12717292141513886,4.181096000427319e-10
DRtg_100_poss,-0.11638923155859542,1.1062025786468187e-08
DREB%_nba,0.11345822567263754,2.5656888772271262e-08
GS,0.11090835632810873,5.2445523495378665e-08
MIN_nba,0.10958708328084515,7.549511081428515e-08
MP,0.10958524453173021,7.553317236762293e-08
%DREB_nba,0.10836544461611028,1.0533471790238958e-07
MPG_espn,0.10812504053725816,1.1242258020648679e-07
MP_advanced,0.10481049663025643,2.7204043622109544e-07
MP_100_poss,0.10481049663025643,2.7204043622109544e-07
DRB%_advanced,0.10367119137354469,3.663564633006314e-07
OPP PTS OFF TOV_nba,0.09816797765737771,1.4768399382703882e-06
TRB%_advanced,0.09573484145681066,2.673111924104017e-06
TRB_100_poss,0.09499474480899471,3.1929082994251077e-06
DRB_100_poss,0.09445012023688311,3.635914535065922e-06
raptor_total_raptor,0.09369518532224348,4.3483627197864495e-06
predator_total_raptor,0.09333759304353759,4.730764201160579e-06
PER_advanced,0.09270592497178733,5.486204075037907e-06
OPP PTS 2ND CHANCE_nba,0.09227173378311512,6.071000582298343e-06
W_nba,0.08995718929161482,1.0339182202099307e-05
TOV,0.08472896117917907,3.285772496654883e-05
BPM_advanced,0.08239533129965304,5.392544290470296e-05
DBPM_advanced,0.08212989126667114,5.700552571950015e-05
OPP PTS PAINT_nba,0.07917456815263799,0.00010463649838984437
pace_impact_raptor,-0.07703719575882781,0.00016030804399164486
OPP PTS FB_nba,0.07678969392190343,0.00016831093562843033
PF,0.07279270740001557,0.00036247300216902894
WS/48_advanced,0.07223151353324701,0.0004025071137637669
GP_espn,0.06543711687855601,0.0013513658669545253
GP_nba,0.06488237955051822,0.0014849142267640424
STL_nba,0.05997476734729575,0.0033160301826951678
2P%_opponent,-0.05928810890252992,0.003694528205022242
STL,0.05696232624717665,0.0052861942325807465
G,0.05578526598166973,0.0063078810938894374
FG%_opponent,-0.05197879531608834,0.010937161184341892
DRtg_misc,-0.05088997147492399,0.012726756611795394
MOV_misc,0.05020336975177823,0.013984168406235982
W_misc,0.0490805608563275,0.016277362811575415
SRS_misc,0.048309279270469956,0.018038084752228973
L_misc,-0.04608647406187807,0.024076511244538995
PW_misc,0.04591084785478627,0.02462084656395306
PL_misc,-0.04282622859511448,0.03606739440994723
BLK_team,0.03914548245569495,0.05538230735390135
Pace_misc,-0.03850380058492887,0.05950602538652512
PF_100_poss,-0.03633212550355806,0.0753909634837998
SOS_misc,-0.034465107190693484,0.09167035751352116
FTA_opponent,-0.028185196832897105,0.16783620378349295
FT_opponent,-0.02700174061480819,0.18641531354413193
Age,0.025053118288737432,0.22024519883791843
AST_opponent,-0.022293766543823347,0.2753509302087766
DRB%_misc,0.020673867035347647,0.3117560481137311
TOV%.1_misc,-0.014041737180078397,0.4920805018225112
PF_team,-0.013509675739063039,0.5086318303895129
STL%_advanced,-0.013034264086415321,0.5236639498303687
STL_100_poss,-0.013034264086415321,0.5236639498303687
teamates_with_dpoy,-0.010637677088938716,0.6027526423933403
3P_opponent,-0.01037504535095278,0.6117365149690532
DRB_team,0.01035043703124451,0.6125813219414171
3PA_opponent,-0.009258630605192313,0.6505678310592187
STL_team,-0.009081574405528332,0.6568179299101159
2P_opponent,-0.006858359066057347,0.7372190893360406
TOV%_misc,0.0063234777901683935,0.7570407046044665
STL%_nba,-0.004978227082753174,0.8075767585645284
TOV_team,-0.004909125744118283,0.810196439466896
FT%_opponent,0.004741583000713328,0.8165568772133214
TRB_opponent,-0.004505091120824127,0.8255553322505285
2PA_opponent,0.004468838863519471,0.826936779625623
DEF RTG_nba,0.003934985424937126,0.8473398761137145
3P%_opponent,-0.003730374917022519,0.8551877674178998
TOV_100_poss,-0.0029414298118867334,0.8855754177587126
FGA_opponent,0.00197621929957098,0.9229777581655868
TRB_team,0.0009702990814263168,0.9621383601462936
ORB_opponent,-0.0007431166166785968,0.9709986541760588
AST_team,0.00023546311674053566,0.9908088453999387
D-LEBRON_bball,,
